Supplier,Date Received,Vendor,Retailer,Address1,Address2,City,State,Zip,Phone,Country,Count Order,Units,Cost
"Ridgecrest Herbals, Inc.",07/01/2013,Nature's Best-Calif,Herbie's Natural Foods,13306 Whittier Blvd,,Whittier,CA,90602,(562) 945-1322,US,5,17,$244.40
"Ridgecrest Herbals, Inc.",07/01/2013,Nature's Best-Calif,Mothers Market Anaheim Hills,5759 East Santa Ana Canyon Rd,,Anaheim,CA,92807,(714) 974-6667,US,4,8,$123.74
"Ridgecrest Herbals, Inc.",07/01/2013,Nature's Best-Calif,Mother's Market-Huntington,19770 Beach Blvd.,,Huntington Beach,CA,92648,(714) 963-6667,US,6,22,$279.43
"Ridgecrest Herbals, Inc.",07/01/2013,Nature's Best-Calif,New Earth Market,1475 Tharp Rd,,Yuba City,CA,95993,(530) 673-9355,US,1,1,$9.63
"Ridgecrest Herbals, Inc.",07/01/2013,Nature's Best-Calif,New Life Health Center (Speedway),4841 E. Speedway,,Tucson,AZ,85712,(520) 325-8375,US,2,5,$76.57
"Ridgecrest Herbals, Inc.",07/01/2013,Palko Distributing Co.,Feger's Health Foods,3058 Tamiami Trail,,Port Charlotte,FL,33952,(941) 625-5561,US,5,14,$179.00
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - CL,Nature's Realm II,20 East White Mountain Blvd Ste. C-3,,Lake Side,AZ,85929,(928) 367-5838,US,3,21,$283.50
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Chuck's Natural Foods,11301 North 56th St. Suite 14,,Temple Terrace,FM,33617,(813) 980-2005,US,2,7,$86.50
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,City Center Market,122 N. Buchanan Street,,Cambridge,MN,55008,(763) 689-4640,US,1,3,$45.00
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Health Best,1350 Galloping Hill Rd,,Union,NJ,07083,(908) 687-4575,US,3,3,$35.01
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Health Food Mart  ,1507 Southwest 21st.,,Topeka,KS,66604,(785) 235-9710,US,3,7,$77.00
